类别,项目,预计金额,实际金额,付款人,是否已支付,备注
交通,往返大交通,0,0,,否,
交通,当地交通,0,0,,否,
住宿,酒店或民宿,0,0,,否,
餐饮,正餐与小吃,0,0,,否,
门票,景点与活动,0,0,,否,
其他,应急备用,0,0,,否,
