类别,项目,预计金额,实际金额,付款人,是否已支付,备注
个人购物,零食与食品,0,0,,否,不计入旅行主体预算
个人购物,护肤品与化妆品,0,0,,否,不计入旅行主体预算
个人购物,香薰与日用品,0,0,,否,不计入旅行主体预算
个人购物,免税商品,0,0,,否,不计入旅行主体预算
亲友代购,待补充,0,0,,否,与个人购物和旅行主体预算分开
